,artist,track,timeInS,date.entered,date.peaked,week,chart pos
0,Destiny's Child,Independent Women Part I,218,2000-09-23,2000-11-18,1,78.0
1,Santana,"Maria, Maria",258,2000-02-12,2000-04-08,1,15.0
2,Savage Garden,I Knew I Loved You,247,1999-10-23,2000-01-29,1,71.0
3,Madonna,Music,225,2000-08-12,2000-09-16,1,41.0
4,"Aguilera, Christina",Come On Over Baby (All I Want Is You),218,2000-08-05,2000-10-14,1,57.0
5,Janet,Doesn't Really Matter,257,2000-06-17,2000-08-26,1,59.0
6,Destiny's Child,Say My Name,271,1999-12-25,2000-03-18,1,83.0
7,"Iglesias, Enrique",Be With You,216,2000-04-01,2000-06-24,1,63.0
8,Sisqo,Incomplete,232,2000-06-24,2000-08-12,1,77.0
9,Lonestar,Amazed,265,1999-06-05,2000-03-04,1,81.0
10,N'Sync,It's Gonna Be Me,190,2000-05-06,2000-07-29,1,82.0
11,"Aguilera, Christina",What A Girl Wants,198,1999-11-27,2000-01-15,1,71.0
12,Vertical Horizon,Everything You Want,241,2000-01-22,2000-07-15,1,70.0
13,Creed,With Arms Wide Open,232,2000-05-13,2000-11-11,1,84.0
14,Aaliyah,Try Again,243,2000-03-18,2000-06-17,1,59.0
15,matchbox twenty,Bent,252,2000-04-29,2000-07-22,1,60.0
16,"Carey, Mariah",Thank God I Found You,254,1999-12-11,2000-02-19,1,82.0
17,"Hill, Faith",Breathe,244,1999-11-06,2000-04-22,1,81.0
18,Mya,Case Of The Ex (Whatcha Gonna Do),230,2000-08-19,2000-12-02,1,72.0
19,Dream,He Loves U Not,223,2000-09-30,2000-12-30,1,99.0
20,"Braxton, Toni",He Wasn't Man Enough,261,2000-03-18,2000-05-06,1,63.0
21,"Anthony, Marc",You Sang To Me,230,2000-02-26,2000-06-03,1,77.0
22,98¡,Give Me Just One Night (Una Noche),204,2000-08-19,2000-09-30,1,51.0
23,Destiny's Child,Jumpin' Jumpin',228,2000-05-13,2000-08-19,1,74.0
24,3 Doors Down,Kryptonite,233,2000-04-08,2000-11-11,1,81.0
25,Sisqo,Thong Song,245,2000-01-29,2000-05-20,1,74.0
26,"Aguilera, Christina",I Turn To You,240,2000-04-15,2000-07-01,1,50.0
27,"Houston, Whitney",My Love Is Your Love,256,1999-09-04,2000-01-08,1,81.0
28,Joe,I Wanna Know,297,2000-01-01,2000-07-01,1,94.0
29,"Jordan, Montell",Get It On.. Tonite,274,1999-10-23,2000-02-12,1,92.0
30,N'Sync,Bye Bye Bye,195,2000-01-29,2000-04-15,1,42.0
31,Eminem,The Real Slim Shady,282,2000-05-06,2000-06-24,1,70.0
32,Pink,Most Girls,246,2000-08-12,2000-11-25,1,85.0
33,"Mumba, Samantha",Gotta Tell You,199,2000-09-09,2000-12-09,1,85.0
34,Blaque,Bring It All To Me,226,1999-10-23,2000-01-22,1,73.0
35,"Elliott, Missy ""Misdemeanor""",Hot Boyz,231,1999-11-27,2000-01-08,1,36.0
36,"Gray, Macy",I Try,232,2000-02-19,2000-05-20,1,68.0
37,N'Sync,This I Promise You,263,2000-09-30,2000-12-02,1,68.0
38,Ruff Endz,No More,236,2000-07-01,2000-09-02,1,76.0
39,"Backstreet Boys, The",Show Me The Meaning Of Being Lonely,234,2000-01-01,2000-03-18,1,74.0
40,Nine Days,Absolutely (Story Of A Girl),189,2000-05-06,2000-07-22,1,85.0
41,"Dion, Celine",That's The Way It Is,243,1999-11-13,2000-03-04,1,74.0
42,Blink-182,All The Small Things,172,1999-12-04,2000-02-19,1,89.0
43,Eiffel 65,Blue (Da Ba Dee),209,1999-12-11,2000-01-29,1,67.0
44,"Badu, Erkyah",Bag Lady,303,2000-08-19,2000-10-07,1,67.0
45,Pink,There U Go,203,2000-03-04,2000-04-08,1,25.0
46,Creed,Higher,316,1999-09-11,2000-07-22,1,81.0
47,Nelly,(Hot S**t) Country Grammar,257,2000-04-29,2000-09-16,1,100.0
48,Next,Wifey,243,2000-05-27,2000-09-09,1,85.0
49,Kenny G,Auld Lang Syne (The Millenium Mix),470,1999-12-25,2000-01-08,1,89.0
50,Sonique,It Feels So Good,228,2000-01-22,2000-04-22,1,67.0
51,"Spears, Britney",Oops!.. I Did It Again,210,2000-04-22,2000-06-10,1,67.0
52,"Backstreet Boys, The",Shape Of My Heart,229,2000-10-14,2000-12-02,1,39.0
53,Everclear,Wonderful,270,2000-07-08,2000-09-30,1,77.0
54,Ja Rule,Between Me And You,245,2000-09-16,2000-11-18,1,85.0
55,"Rimes, LeAnn",I Need You,222,2000-05-27,2000-08-12,1,77.0
56,Smash Mouth,Then The Morning Comes,184,1999-10-30,2000-01-29,1,83.0
57,Jay-Z,I Just Wanna Love U (Give It 2 Me),230,2000-10-28,2000-12-30,1,58.0
58,Jagged Edge,Let's Get Married,263,2000-05-06,2000-07-29,1,77.0
59,Filter,Take A Picture,263,1999-11-27,2000-02-05,1,91.0
60,"Martin, Ricky",She Bangs,242,2000-10-07,2000-12-02,1,38.0
61,Mystikal,Shake Ya Ass,286,2000-08-12,2000-10-28,1,97.0
62,BBMak,Back Here,215,2000-04-29,2000-07-29,1,99.0
63,"Spears, Britney",From The Bottom Of My Broken Heart,270,2000-01-29,2000-02-26,1,76.0
64,Third Eye Blind,Never Let You Go,237,2000-01-22,2000-04-01,1,65.0
65,Red Hot Chili Peppers,Otherside,253,2000-02-12,2000-05-27,1,80.0
66,Profyle,Liar,237,2000-09-16,2000-10-28,1,52.0
67,Barenaked Ladies,Pinch Me,226,2000-09-09,2000-11-25,1,77.0
68,Jagged Edge,He Can't Love U,210,1999-12-11,2000-01-08,1,54.0
69,504 Boyz,Wobble Wobble,215,2000-04-15,2000-05-06,1,57.0
70,Sting,Desert Rose,232,2000-05-13,2000-08-26,1,98.0
71,Jay-Z,Big Pimpin',235,2000-04-22,2000-07-08,1,69.0
72,Kid Rock,Only God Knows Why,327,2000-02-19,2000-04-15,1,63.0
73,Foo Fighters,Learn To Fly,235,1999-10-16,2000-01-22,1,80.0
74,"Dixie Chicks, The",Goodbye Earl,259,2000-03-18,2000-05-06,1,40.0
75,Guy,Dancin',248,1999-12-18,2000-01-01,1,46.0
76,Lil Bow Wow,Bounce With Me,202,2000-08-19,2000-09-16,1,48.0
77,Westlife,Swear It Again,247,2000-04-01,2000-07-01,1,96.0
78,Train,Meet Virginia,235,1999-10-09,2000-01-22,1,76.0
79,"Thomas, Carl",I Wish,230,2000-03-25,2000-05-13,1,75.0
80,Hanson,This Time Around,254,2000-04-22,2000-05-06,1,22.0
81,"Simpson, Jessica",I Think I'm In Love With You,212,2000-07-01,2000-08-12,1,63.0
82,Ludacris,What's Your Fantasy,256,2000-09-30,2000-12-16,1,89.0
