,company,location,salary,title
21,University of Texas at Dallas,"Richardson, TX",48000.0,Research Scientist
93,All-In Analytics,"Dallas, TX",90000.0,Senior Marketing Data Scientist
113,NextStep Recruiting,"Irving, TX 75063",85000.0,Pricing and Quantitative Analyst
174,Selby Jennings,"Dallas, TX",97500.0,Catastrophe Risk Analyst - Quantitative
1726,Boy Scouts of America,"Irving, TX 75038",50000.0,Senior Statistical Data Coordinator
1734,Selby Jennings,"Dallas, TX",150000.0,Quantitative Analyst - Multiple Vacancies
2261,Audigent,"Philadelphia, PA",105000.0,Senior Full-Stack Engineer
2270,"NewAgeSys,Inc","North Wales, PA",50000.0,Scientist I
2316,Wolfe & Huntsman LLC,"Philadelphia, PA",155000.0,Senior Business Systems Architect (Hadoop Developer)
2349,FIS Global,"Voorhees, NJ",55000.0,RISC Business Analyst II - data analysis
2391,Public Health Management Corporation,"Philadelphia, PA",70000.0,Research Scientist - Research & Evaluation Group
2439,Temple University,"Philadelphia, PA 19122 (Kensington area)",48000.0,NTT Research Faculty
2494,Liberty Personnel Services,"Philadelphia, PA",140000.0,Quantitative Research Analyst
2512,JUNO Search Partners,"Philadelphia, PA 19107 (City Center East area)",100000.0,Full Stack Software Engineer
2522,Penfield Search Partners,"Philadelphia, PA",220000.0,"Sr. Director, Statistical Innovation"
2571,Workbridge Associates,"Philadelphia, PA",75000.0,Python Developer-Machine Learning
2605,The Big Game Hunter,"Bala-Cynwyd, PA",125000.0,Quantitative Research Analyst Bala Cynwyd PA
2627,All-In Analytics,"Philadelphia, PA",112500.0,Auto Risk Data Scientist
2628,Averity,"Philadelphia, PA",250000.0,Quantitative Analyst (Big Data Focus) at $10+ Billion Hedge...
2644,Intuitive Technology Solutions,"Gibbstown, NJ",60000.0,Analytical Chemist
2677,S & S Professional Services,"Mount Laurel, NJ",72500.0,Certifying Scientist
2755,JUNO Search Partners,"Philadelphia, PA 19107 (City Center East area)",100000.0,UI/UX Engineer (D3.js)
2797,3coast,"Philadelphia, PA",120000.0,Quant Research Analyst
2823,Liberty Personnel Services,"Wilmington, DE",130000.0,Data Scientist - SQL SAS Xeno R
4484,Centers for Disease Control and Prevention,"Atlanta, GA",101553.5,Statistician (Health)
4489,Analytic Recruiting,"Alpharetta, GA",82500.0,Junior Data Scientist
4501,Centers for Disease Control and Prevention,"Atlanta, GA",85399.0,Behavioral Scientist
